discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
3c3cb5507a37929451fcb1c7e0f3b30a,20151,0.0,42.0,1.1,0.0,2.8,0.0,NÃO PRESENTE
5ea3693d9ce0686834ed63f36256eb5b,20151,5.3,0.0,4.0,0.0,7.0,4.0,NÃO PRESENTE
c698b730cc356c5080184e315d68f18f,20151,0.0,24.0,0.0,8.0,0.0,16.0,NÃO PRESENTE
117c84af0c35218057a2f2f7357e14e8,20151,0.0,50.0,0.0,42.0,0.0,30.0,NÃO PRESENTE
76e4f62c1f9d08ee02408ffad19c0d5e,20151,0.2,30.0,1.1,0.0,0.3,0.0,NÃO PRESENTE
c5595956a8e3e5e6a33f84f612a57970,20151,0.5,12.0,0.8,0.0,0.7,0.0,NÃO PRESENTE
7b259b60ea4165b1eff941cbef2f9710,20151,0.0,20.0,0.0,0.0,0.0,64.0,NÃO PRESENTE
3ea0694db5f02a7615018427234b3e75,20151,0.9,4.0,6.2,0.0,3.2,0.0,NÃO PRESENTE
52cd3bbe9c5a2fe6cee6928fadc5fc99,20151,0.3,12.0,0.0,26.0,0.0,8.0,NÃO PRESENTE
d1052676438024cbeb84167d07fb4a5e,20151,8.3,4.0,6.1,2.0,5.0,2.0,APROVADO POR NOTA
7106c7298feaf048041c7b47431d0739,20151,5.3,0.0,1.7,0.0,6.3,2.0,NÃO PRESENTE
378e5d31bd6640ae9613d7eece11609d,20151,5.4,0.0,5.3,0.0,1.3,0.0,NÃO PRESENTE
d3c9e061f830028b2bea7f62706ea909,20151,5.1,6.0,4.7,0.0,2.0,0.0,NÃO PRESENTE
