discente,media_final,numero_total_faltas,descricao
956ea784c24907c33ab9223a86077c30,8.1,0.0,REPROVADO
ff6bb0b6cb632b75f87e84f3b66d2947,5.2,0.0,NÃO PRESENTE
6243c8366cc8df4a24ac0a46d40d5551,5.9,0.0,NÃO PRESENTE
a2761a100c7a882ef3ccdfc30c2bba60,6.5,0.0,NÃO PRESENTE
a4f155a4817c76789d205bb78ec71168,9.0,0.0,REPROVADO
924a8972db2f0dfe6117c2a04cc197b6,5.6,0.0,REPROVADO
98d4ef60c20cfca265a03d8ca0f38576,6.7,0.0,NÃO PRESENTE
6fd37781ff47b58d62c43e4b56dd2a34,8.8,0.0,NÃO PRESENTE
81fd1b27a3b0b1e7b39ed2e356f179e0,8.4,0.0,NÃO PRESENTE
82ef0d5469a1e7fb35d114770d006e68,9.9,0.0,APROVADO POR NOTA
5d54909fad2a8f3bba766e6dda80607b,9.3,0.0,REPROVADO
0c3b7727ba051d6117ff9fd6a85052ec,5.4,0.0,NÃO PRESENTE
c1edb0c1c857b807fcb6d1d5a42c409d,6.7,0.0,NÃO PRESENTE
3ea0694db5f02a7615018427234b3e75,6.6,0.0,REPROVADO
0e549206fa4107d662affa5ae9badaa3,7.7,0.0,NÃO PRESENTE
4795e74fa3dc4d4a5c3c3dacdca5807a,0.0,0.0,NÃO PRESENTE
c8406d6d1b84a523884b590591c6d985,2.3,0.0,NÃO PRESENTE
20c4916b504e33c30b695680b1e019a3,6.0,0.0,NÃO PRESENTE
a093246dd4bb028ffb6e345625d449ea,8.4,0.0,NÃO PRESENTE
81a7c7db4f4da7cb1d738f948a5d5065,0.4,0.0,NÃO PRESENTE
e4b4db7958bfcc0733ae931b4b370555,3.0,0.0,NÃO PRESENTE
42e279ba67de1a7ea71768199e9226d8,0.2,0.0,NÃO PRESENTE
813aacf5a64dea637968de0021c74520,0.0,0.0,NÃO PRESENTE
6f7e0d13ff921bff99dc88b992052f13,5.3,0.0,NÃO PRESENTE
2847b04ebab6c2e7a964669becff4620,10.0,0.0,APROVADO POR NOTA
a125d30c7108a22280e4f279be5f6605,0.9,0.0,NÃO PRESENTE
850e2a5763f561f4fc734655e32a19c4,10.0,0.0,NÃO PRESENTE
3693c592ab8eb3140a8c03d3682834c1,0.0,0.0,NÃO PRESENTE
d1dfac1c2d7cd13dab06490c4ea5d54e,0.0,0.0,NÃO PRESENTE
7a98628253f4b17b684f1b5ba5603850,0.0,0.0,NÃO PRESENTE
6d3f0cffbbce17b2aeededfb1a281fd8,0.0,0.0,NÃO PRESENTE
6c587c91a054681613885a44f4bbdaf6,5.5,0.0,NÃO PRESENTE
481fd125bdcaaa40328e00b6ef6ba667,1.3,0.0,NÃO PRESENTE
4f676606594e53690b4207b19468a9d1,5.0,0.0,NÃO PRESENTE
af841a9c73ed604fcdb7fdfdb94efc65,0.2,0.0,NÃO PRESENTE
5783560df6803964aa204fe2a2474509,10.0,0.0,APROVADO POR NOTA
b452c5545b15d57b0d32875b88906b9b,5.0,0.0,NÃO PRESENTE
56039b6ec5867cd85dfec350a288f165,5.5,0.0,NÃO PRESENTE
97eeeeb81ab526c8936e0def1e7540c1,5.0,0.0,NÃO PRESENTE
49069c4a5089097392b06e0171f3a0b4,5.6,0.0,NÃO PRESENTE
ba7d5da96bb0fa0cfd2449c0f9a50c6c,5.4,0.0,NÃO PRESENTE
